,data_year,county_name,Total Violent Crime
2796,2022,SANTA BARBARA,574.0
2797,2017,SANTA BARBARA,60.0
2798,2018,SANTA BARBARA,84.0
2799,2019,SANTA BARBARA,59.0
2800,2020,SANTA BARBARA,67.0
2801,2022,SANTA BARBARA,56.0
2802,2017,SANTA BARBARA,0.0
2803,2017,SANTA BARBARA,25.0
2804,2018,SANTA BARBARA,23.0
2805,2019,SANTA BARBARA,26.0
2806,2020,SANTA BARBARA,28.0
2807,2022,SANTA BARBARA,12.0
2808,2017,SANTA BARBARA,1.0
2809,2018,SANTA BARBARA,0.0
2810,2019,SANTA BARBARA,6.0
2811,2020,SANTA BARBARA,0.0
2812,2022,SANTA BARBARA,2.0
2813,2017,SANTA BARBARA,22.0
2814,2018,SANTA BARBARA,20.0
2815,2019,SANTA BARBARA,23.0
2816,2020,SANTA BARBARA,25.0
2817,2022,SANTA BARBARA,9.0
2818,2017,SANTA BARBARA,118.0
2819,2018,SANTA BARBARA,163.0
2820,2019,SANTA BARBARA,138.0
2821,2020,SANTA BARBARA,128.0
2822,2022,SANTA BARBARA,124.0
2823,2017,SANTA BARBARA,36.0
2824,2018,SANTA BARBARA,36.0
2825,2019,SANTA BARBARA,36.0
2826,2020,SANTA BARBARA,11.0
2827,2021,SANTA BARBARA,5.0
2828,2022,SANTA BARBARA,5.0
2829,2021,SANTA BARBARA,3.0
2830,2022,SANTA BARBARA,1.0
2831,2021,SANTA BARBARA,0.0
2832,2022,SANTA BARBARA,2.0
2833,2021,SANTA BARBARA,0.0
2834,2022,SANTA BARBARA,3.0
2835,2017,SANTA CLARA,620.0
2836,2018,SANTA CLARA,562.0
2837,2019,SANTA CLARA,555.0
2838,2020,SANTA CLARA,460.0
2839,2022,SANTA CLARA,500.0
2840,2017,SANTA CLARA,205.0
2841,2018,SANTA CLARA,163.0
2842,2019,SANTA CLARA,166.0
2843,2020,SANTA CLARA,148.0
2844,2022,SANTA CLARA,233.0
2845,2017,SANTA CLARA,48.0
2846,2018,SANTA CLARA,55.0
2847,2019,SANTA CLARA,42.0
2848,2020,SANTA CLARA,19.0
2849,2022,SANTA CLARA,13.0
2850,2017,SANTA CLARA,347.0
2851,2018,SANTA CLARA,407.0
2852,2019,SANTA CLARA,396.0
2853,2020,SANTA CLARA,333.0
2854,2022,SANTA CLARA,267.0
2855,2017,SANTA CLARA,31.0
2856,2018,SANTA CLARA,31.0
2857,2019,SANTA CLARA,29.0
2858,2020,SANTA CLARA,20.0
2859,2021,SANTA CLARA,0.0
2860,2022,SANTA CLARA,17.0
2861,2017,SANTA CLARA,1.0
2862,2018,SANTA CLARA,1.0
2863,2019,SANTA CLARA,1.0
2864,2020,SANTA CLARA,1.0
2865,2022,SANTA CLARA,1.0
2866,2017,SANTA CLARA,69.0
2867,2018,SANTA CLARA,96.0
2868,2019,SANTA CLARA,81.0
2869,2020,SANTA CLARA,49.0
2870,2021,SANTA CLARA,10.0
2871,2022,SANTA CLARA,63.0
2872,2017,SANTA CLARA,258.0
2873,2018,SANTA CLARA,268.0
2874,2019,SANTA CLARA,284.0
2875,2020,SANTA CLARA,278.0
2876,2022,SANTA CLARA,281.0
2877,2017,SANTA CLARA,4.0
2878,2018,SANTA CLARA,2.0
2879,2019,SANTA CLARA,2.0
2880,2020,SANTA CLARA,2.0
2881,2021,SANTA CLARA,1.0
2882,2022,SANTA CLARA,6.0
2883,2017,SANTA CLARA,209.0
2884,2018,SANTA CLARA,205.0
2885,2019,SANTA CLARA,209.0
2886,2020,SANTA CLARA,170.0
2887,2021,SANTA CLARA,62.0
2888,2022,SANTA CLARA,86.0
2889,2017,SANTA CLARA,301.0
2890,2018,SANTA CLARA,285.0
2891,2019,SANTA CLARA,277.0
2892,2020,SANTA CLARA,238.0
2893,2021,SANTA CLARA,8.0
2894,2022,SANTA CLARA,168.0
2895,2017,SANTA CLARA,172.0
2896,2018,SANTA CLARA,145.0
2897,2019,SANTA CLARA,153.0
2898,2020,SANTA CLARA,103.0
2899,2021,SANTA CLARA,7.0
2900,2022,SANTA CLARA,111.0
2901,2017,SANTA CLARA,3313.0
2902,2018,SANTA CLARA,3407.0
2903,2019,SANTA CLARA,3688.0
2904,2020,SANTA CLARA,3810.0
2905,2022,SANTA CLARA,4308.0
2906,2017,SANTA CLARA,440.0
2907,2018,SANTA CLARA,467.0
2908,2019,SANTA CLARA,477.0
2909,2020,SANTA CLARA,399.0
2910,2021,SANTA CLARA,132.0
2911,2022,SANTA CLARA,389.0
2912,2017,SANTA CLARA,15.0
2913,2018,SANTA CLARA,11.0
2914,2019,SANTA CLARA,14.0
2915,2020,SANTA CLARA,7.0
2916,2022,SANTA CLARA,9.0
2917,2017,SANTA CLARA,447.0
2918,2018,SANTA CLARA,432.0
2919,2019,SANTA CLARA,432.0
