,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",ori_number
3,2020.0,110.0,215.0,2.0,41.0,0.0,3.0,207.0,451.0,86.0,7.0,4.0,11.0,0.0,0.0,0.0,89.0,1.0,0.0,7.0,1.0,0.0,0.0,5.0,29.0,102.0,85.0,0.0,5.0,12.0,50.0,7.0,CA0010700
4,2022.0,97.0,190.0,2.0,17.0,0.0,4.0,208.0,403.0,89.0,5.0,8.0,12.0,0.0,0.0,0.0,57.0,2.0,0.0,6.0,3.0,0.0,0.0,2.0,26.0,123.0,67.0,0.0,4.0,19.0,59.0,5.0,CA0010700
0,2017.0,39.0,244.0,0.0,35.0,0.0,2.0,71.0,275.0,53.0,0.0,7.0,7.0,0.0,0.0,0.0,87.0,1.0,0.0,9.0,3.0,0.0,0.0,2.0,24.0,90.0,26.0,0.0,3.0,17.0,22.0,10.0,CA0010800
1,2018.0,41.0,210.0,1.0,15.0,0.0,6.0,91.0,244.0,42.0,3.0,4.0,5.0,0.0,0.0,0.0,53.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,17.0,89.0,12.0,0.0,5.0,8.0,15.0,5.0,CA0010800
2,2019.0,44.0,241.0,3.0,24.0,0.0,3.0,97.0,213.0,26.0,0.0,2.0,4.0,0.0,0.0,0.0,40.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,11.0,81.0,20.0,0.0,1.0,11.0,16.0,3.0,CA0010800
3,2020.0,46.0,146.0,0.0,14.0,0.0,0.0,77.0,191.0,20.0,0.0,2.0,4.0,0.0,0.0,0.0,63.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,15.0,45.0,25.0,0.0,3.0,10.0,26.0,5.0,CA0010800
4,2021.0,6.0,69.0,0.0,0.0,0.0,8.0,18.0,9.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,3.0,2.0,0.0,CA0010800
5,2022.0,26.0,168.0,0.0,17.0,0.0,28.0,62.0,48.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,91.0,16.0,0.0,4.0,22.0,16.0,1.0,CA0010800
0,2017.0,822.0,2791.0,14.0,244.0,0.0,10.0,294.0,1332.0,5.0,12.0,36.0,15.0,8.0,0.0,0.0,88.0,5.0,2.0,560.0,45.0,2.0,481.0,51.0,336.0,1978.0,128.0,0.0,15.0,626.0,435.0,183.0,CA0010900
1,2018.0,876.0,2175.0,27.0,209.0,0.0,12.0,250.0,824.0,37.0,26.0,25.0,13.0,3.0,0.0,0.0,121.0,9.0,5.0,430.0,23.0,0.0,382.0,30.0,415.0,1925.0,127.0,0.0,6.0,538.0,376.0,107.0,CA0010900
2,2019.0,934.0,1845.0,12.0,263.0,0.0,18.0,306.0,590.0,18.0,27.0,34.0,20.0,11.0,0.0,0.0,119.0,13.0,1.0,470.0,37.0,3.0,373.0,28.0,347.0,1871.0,137.0,0.0,3.0,407.0,320.0,68.0,CA0010900
3,2020.0,1066.0,1352.0,22.0,348.0,0.0,42.0,232.0,341.0,9.0,20.0,25.0,5.0,10.0,0.0,0.0,101.0,2.0,2.0,565.0,52.0,6.0,184.0,30.0,294.0,1632.0,214.0,0.0,1.0,366.0,402.0,54.0,CA0010900
4,2022.0,1089.0,1133.0,21.0,186.0,0.0,12.0,146.0,246.0,5.0,3.0,24.0,4.0,3.0,0.0,0.0,61.0,1.0,4.0,371.0,31.0,3.0,186.0,29.0,260.0,1126.0,195.0,0.0,0.0,492.0,420.0,43.0,CA0010900
0,2017.0,4.0,11.0,0.0,4.0,0.0,0.0,12.0,34.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,1.0,CA0011000
1,2018.0,4.0,6.0,0.0,9.0,0.0,0.0,14.0,31.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,4.0,0.0,CA0011000
2,2019.0,0.0,3.0,0.0,4.0,0.0,0.0,13.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,CA0011000
3,2020.0,0.0,9.0,0.0,2.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,CA0011000
4,2022.0,3.0,8.0,0.0,2.0,0.0,0.0,20.0,9.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,CA0011000
0,2017.0,60.0,103.0,3.0,150.0,0.0,0.0,104.0,216.0,156.0,4.0,4.0,11.0,0.0,0.0,0.0,205.0,6.0,0.0,13.0,0.0,0.0,2.0,2.0,17.0,55.0,27.0,0.0,8.0,13.0,18.0,8.0,CA0011100
1,2018.0,45.0,118.0,0.0,121.0,0.0,4.0,113.0,342.0,120.0,6.0,0.0,11.0,0.0,0.0,0.0,188.0,2.0,0.0,7.0,0.0,0.0,10.0,2.0,25.0,71.0,27.0,0.0,7.0,4.0,19.0,9.0,CA0011100
2,2019.0,46.0,125.0,0.0,122.0,0.0,1.0,153.0,334.0,158.0,7.0,0.0,2.0,0.0,0.0,0.0,157.0,3.0,0.0,8.0,0.0,0.0,7.0,0.0,20.0,86.0,28.0,0.0,1.0,18.0,19.0,9.0,CA0011100
3,2020.0,56.0,92.0,2.0,87.0,0.0,0.0,91.0,329.0,67.0,10.0,0.0,3.0,0.0,0.0,0.0,92.0,1.0,0.0,13.0,5.0,0.0,0.0,0.0,15.0,82.0,33.0,0.0,6.0,8.0,29.0,8.0,CA0011100
4,2022.0,55.0,116.0,1.0,52.0,0.0,2.0,83.0,224.0,63.0,0.0,2.0,3.0,0.0,0.0,0.0,103.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,82.0,36.0,0.0,6.0,8.0,23.0,5.0,CA0011100
0,2017.0,200.0,193.0,1.0,81.0,0.0,6.0,80.0,339.0,373.0,10.0,10.0,22.0,1.0,0.0,0.0,300.0,1.0,0.0,151.0,3.0,1.0,1.0,3.0,104.0,153.0,34.0,0.0,9.0,18.0,53.0,28.0,CA0011200
1,2018.0,172.0,184.0,8.0,66.0,0.0,8.0,77.0,251.0,424.0,7.0,7.0,12.0,0.0,0.0,0.0,263.0,1.0,0.0,105.0,6.0,6.0,0.0,3.0,97.0,176.0,33.0,0.0,12.0,26.0,34.0,36.0,CA0011200
2,2019.0,161.0,126.0,3.0,88.0,0.0,4.0,98.0,215.0,361.0,4.0,3.0,14.0,0.0,0.0,0.0,159.0,0.0,0.0,100.0,1.0,2.0,0.0,2.0,87.0,163.0,16.0,0.0,13.0,27.0,43.0,19.0,CA0011200
3,2020.0,117.0,63.0,2.0,54.0,0.0,1.0,90.0,118.0,160.0,1.0,5.0,3.0,0.0,0.0,0.0,98.0,0.0,0.0,143.0,5.0,2.0,0.0,2.0,83.0,132.0,11.0,0.0,10.0,26.0,54.0,16.0,CA0011200
4,2022.0,136.0,68.0,6.0,51.0,0.0,7.0,97.0,80.0,103.0,3.0,1.0,2.0,0.0,0.0,0.0,87.0,0.0,0.0,106.0,3.0,1.0,0.0,1.0,63.0,120.0,31.0,0.0,5.0,25.0,112.0,14.0,CA0011200
0,2017.0,157.0,190.0,0.0,61.0,0.0,3.0,67.0,390.0,56.0,1.0,8.0,4.0,0.0,0.0,0.0,60.0,1.0,0.0,44.0,2.0,0.0,18.0,3.0,36.0,86.0,39.0,0.0,0.0,9.0,35.0,9.0,CA0011300
1,2018.0,157.0,284.0,4.0,60.0,0.0,6.0,87.0,386.0,45.0,3.0,1.0,3.0,0.0,0.0,0.0,45.0,0.0,0.0,36.0,1.0,1.0,0.0,5.0,53.0,101.0,36.0,0.0,0.0,14.0,43.0,13.0,CA0011300
2,2019.0,122.0,267.0,2.0,36.0,0.0,1.0,76.0,388.0,55.0,4.0,4.0,2.0,0.0,0.0,0.0,35.0,3.0,0.0,30.0,0.0,0.0,0.0,1.0,39.0,93.0,28.0,0.0,3.0,11.0,43.0,8.0,CA0011300
3,2020.0,97.0,90.0,2.0,37.0,0.0,2.0,36.0,130.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,18.0,54.0,9.0,0.0,0.0,8.0,26.0,9.0,CA0011300
4,2022.0,58.0,72.0,2.0,15.0,0.0,24.0,34.0,83.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,33.0,8.0,0.0,0.0,8.0,30.0,0.0,CA0011300
