,county_name,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",agency_count,agency_count
71,LAKE,2022,65,179,4,20,0,129,28,209,0,0,7,4,0,0,0,20,2,0,3,0,0,0,3,8,104,20,0,1,17,40,2,2,2
72,LASSEN,2017,90,258,3,22,0,3,18,132,6,0,1,3,0,0,0,22,5,0,4,2,1,0,4,2,73,14,0,2,16,24,8,2,2
73,LASSEN,2018,96,247,2,31,1,1,20,121,28,0,5,2,0,0,0,27,9,0,2,0,0,0,6,6,64,10,0,2,10,25,7,2,2
74,LASSEN,2019,98,174,0,24,0,19,18,137,10,2,0,3,0,0,0,13,4,0,12,0,2,0,1,0,70,12,0,2,8,35,10,2,2
75,LASSEN,2020,83,144,2,39,0,9,16,133,20,0,2,8,0,0,0,21,1,0,8,2,0,0,1,2,55,8,0,1,9,18,4,2,2
76,LASSEN,2021,4,30,0,1,0,4,2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,10,1,0,0,1,4,0,2,2
77,LASSEN,2022,37,168,2,10,0,38,20,55,0,2,0,14,0,0,0,22,4,0,7,2,0,0,2,5,50,4,0,0,11,32,1,2,2
78,LOS ANGELES,2017,1517,4466,24,1540,15,50,1861,5819,1816,27,285,244,3,0,0,2445,107,14,969,30,2,32,49,576,1412,266,0,30,398,530,188,18,18
79,LOS ANGELES,2018,1540,4444,26,1465,3,54,2051,6211,1837,21,219,246,3,0,0,2056,109,0,846,22,3,32,54,477,1542,246,0,54,389,548,211,18,18
80,LOS ANGELES,2019,1567,4128,32,1406,7,42,2006,6089,1464,21,259,220,2,0,0,2259,57,5,659,20,6,23,35,484,1442,263,0,31,367,465,167,18,18
81,LOS ANGELES,2020,1301,2421,30,1015,12,19,1206,4270,637,11,221,143,11,0,0,1396,13,2,729,39,13,11,42,410,1161,207,0,11,343,472,131,18,18
82,LOS ANGELES,2021,625,3028,22,289,0,716,1144,1291,0,17,40,284,46,0,0,797,27,1,343,15,2,5,20,184,834,294,0,11,275,324,30,18,18
83,LOS ANGELES,2022,911,5989,59,579,4,1772,1823,2387,0,28,117,547,22,0,2,1794,34,0,410,13,7,0,38,381,1364,360,0,14,543,605,42,18,18
84,MADERA,2017,353,1142,3,57,0,68,230,936,119,2,6,12,0,0,0,93,10,0,45,6,1,2,14,38,374,48,0,8,51,145,45,2,2
85,MADERA,2018,455,1218,3,66,0,15,235,1340,75,3,11,24,0,0,0,95,13,0,42,2,3,6,10,34,395,47,0,6,63,150,42,2,2
86,MADERA,2019,395,1225,7,98,0,8,292,1237,83,0,11,16,0,0,0,124,14,0,35,5,0,3,21,29,387,39,0,6,46,119,45,2,2
87,MADERA,2020,385,815,5,54,0,3,257,1032,62,0,11,17,0,0,0,65,2,1,41,10,0,0,15,25,313,35,0,3,55,125,37,2,2
88,MADERA,2021,306,1160,12,40,0,211,269,537,0,0,22,54,0,0,0,60,2,0,33,6,1,0,10,14,315,57,0,2,56,129,14,2,2
89,MADERA,2022,268,1210,15,42,0,279,244,452,0,0,17,43,0,0,0,81,2,0,33,3,1,1,12,23,351,54,0,0,69,123,10,2,2
90,MARIN,2017,234,624,6,136,0,18,327,854,312,7,11,17,0,0,0,140,78,0,25,1,0,12,6,55,332,27,0,127,65,55,71,2,2
91,MARIN,2018,274,836,9,87,2,14,425,887,345,3,8,12,0,0,0,125,59,1,20,1,1,13,14,50,341,35,0,187,54,43,52,2,2
92,MARIN,2019,235,629,5,104,1,14,255,786,328,0,9,25,0,0,0,67,45,0,37,0,0,9,8,31,336,30,0,92,37,44,42,2,2
93,MARIN,2020,225,521,20,68,2,9,189,796,168,1,1,7,0,0,0,68,29,0,15,1,0,3,6,29,295,42,0,37,77,49,32,2,2
94,MARIN,2021,11,45,0,1,0,17,34,32,0,0,1,2,0,0,0,21,0,0,1,0,0,0,2,2,18,3,0,4,1,6,1,2,2
95,MARIN,2022,163,512,16,21,1,303,209,430,0,4,5,27,0,0,0,145,1,0,25,1,0,1,13,22,310,50,0,23,58,68,10,2,2
96,MARIPOSA,2017,40,203,0,10,0,0,40,102,41,0,1,2,0,0,0,13,1,0,1,0,1,0,0,0,46,7,0,1,3,13,4,1,1
97,MARIPOSA,2018,29,139,1,13,0,4,47,131,41,1,2,5,0,0,0,8,0,0,4,1,1,0,2,0,41,6,0,4,2,8,3,1,1
98,MARIPOSA,2019,59,174,0,11,0,4,41,223,43,0,10,7,0,0,0,5,0,0,4,3,0,0,1,2,57,6,0,0,4,15,8,1,1
99,MARIPOSA,2020,43,92,2,9,0,3,33,191,15,0,2,5,0,0,0,7,2,0,3,0,0,0,1,0,37,10,0,0,5,11,3,1,1
100,MARIPOSA,2021,13,33,0,6,0,18,16,43,0,0,1,4,0,0,0,6,0,0,0,1,0,0,0,0,30,3,0,0,1,8,0,1,1
101,MARIPOSA,2022,20,42,0,2,0,35,34,75,0,0,2,3,0,0,0,6,0,0,3,0,2,0,0,0,39,1,0,0,4,4,0,1,1
102,MENDOCINO,2017,60,129,1,40,0,10,36,107,77,1,2,1,0,0,0,13,0,0,7,0,0,0,3,3,61,7,0,7,10,7,2,1,1
103,MENDOCINO,2018,46,164,0,42,0,4,46,126,79,1,2,8,0,0,0,10,0,0,1,0,0,0,3,7,50,3,0,6,5,7,5,1,1
104,MENDOCINO,2019,34,114,0,43,0,3,30,70,50,0,0,2,0,0,0,13,0,0,3,0,0,0,1,4,41,1,0,1,6,4,0,1,1
105,MENDOCINO,2020,29,151,1,25,0,1,21,78,64,0,0,1,0,0,0,15,0,0,0,0,1,0,2,3,47,4,0,2,4,3,3,1,1
106,MENDOCINO,2021,7,69,1,4,0,49,40,20,0,0,1,4,0,0,0,29,0,0,4,0,0,0,0,2,37,0,0,0,6,4,0,1,1
107,MENDOCINO,2022,17,99,2,5,0,61,158,36,0,0,1,3,0,0,0,31,2,0,3,0,0,0,0,7,47,1,0,0,11,15,0,1,1
108,MERCED,2017,64,232,0,18,2,2,46,171,31,0,4,1,0,0,0,7,2,0,5,1,0,0,0,6,58,7,0,0,4,13,8,2,2
109,MERCED,2018,40,255,3,28,0,7,53,110,13,0,1,3,2,0,0,8,4,0,5,0,0,0,0,3,64,6,0,0,17,4,3,2,2
110,MERCED,2019,40,265,1,16,0,6,48,84,22,0,1,0,0,0,0,7,10,0,10,0,1,0,1,7,62,7,0,1,8,14,4,2,2
111,MERCED,2020,52,179,1,16,0,0,51,83,15,0,2,0,0,0,0,5,0,0,2,0,1,0,0,2,51,11,0,0,16,10,6,2,2
