,county_name,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property,agency_count
220,SOLANO,2021,75,156,84,1
221,SOLANO,2022,103,115,82,1
222,SONOMA,2017,56,254,62,1
223,SONOMA,2018,42,254,62,1
224,SONOMA,2019,51,217,60,1
225,SONOMA,2020,51,144,48,1
226,SONOMA,2021,17,51,21,1
227,SONOMA,2022,60,174,67,1
228,SUTTER,2017,542,1051,723,1
229,SUTTER,2018,483,1200,637,1
230,SUTTER,2019,506,1267,703,1
231,SUTTER,2020,421,727,564,1
232,SUTTER,2021,20,59,53,1
233,SUTTER,2022,360,813,436,1
234,TEHAMA,2017,384,919,472,3
235,TEHAMA,2018,483,961,416,3
236,TEHAMA,2019,451,985,428,3
237,TEHAMA,2020,354,679,315,3
238,TEHAMA,2021,190,415,201,3
239,TEHAMA,2022,253,608,342,3
240,TULARE,2017,1582,2721,1349,3
241,TULARE,2018,1460,2577,1342,3
242,TULARE,2019,1502,2724,1296,3
243,TULARE,2020,1347,2551,958,3
244,TULARE,2021,952,1787,677,3
245,TULARE,2022,1049,1686,797,3
246,VENTURA,2017,187,331,107,1
247,VENTURA,2018,197,320,153,1
248,VENTURA,2019,229,491,126,1
249,VENTURA,2020,234,447,141,1
250,VENTURA,2021,125,246,107,1
251,VENTURA,2022,167,146,125,1
252,YOLO,2017,465,1146,414,3
253,YOLO,2018,472,1033,450,3
254,YOLO,2019,422,1059,417,3
255,YOLO,2020,419,644,379,3
256,YOLO,2021,86,143,89,3
257,YOLO,2022,331,667,370,3
