AGENCY_NAME,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
Monterey County Sheriff's Department,2017,143,473,3,64,0,6,24,247,16,1,4,3,0,0,0,19,1,0,32,3,1,0,12,10,98,15,0,0,25,36,13
Monterey County Sheriff's Department,2018,188,496,3,76,0,0,28,338,18,0,10,8,0,0,0,26,12,1,40,3,1,1,10,16,102,21,0,2,21,53,11
Monterey County Sheriff's Department,2019,178,539,1,49,0,1,25,477,24,1,20,15,0,0,0,20,10,0,24,4,0,0,9,15,123,20,0,3,16,53,16
Monterey County Sheriff's Department,2020,179,464,3,54,0,1,19,350,16,0,6,12,0,0,0,21,10,0,32,7,0,1,8,14,98,16,0,1,17,43,19
Monterey County Sheriff's Department,2021,80,237,3,26,0,27,54,136,0,0,5,11,0,0,0,12,3,0,18,7,0,0,1,4,93,14,0,2,11,38,5
Monterey County Sheriff's Department,2022,85,269,2,23,1,33,107,243,0,1,4,16,0,0,0,22,2,0,14,2,0,0,3,5,125,22,0,2,15,40,5
Monterey Park Police Department,2017,72,205,2,41,0,1,86,120,23,0,9,11,0,0,0,27,7,0,20,2,1,0,7,10,59,10,0,0,8,19,7
Monterey Park Police Department,2018,103,240,0,76,0,0,92,59,35,1,1,6,0,0,0,29,7,0,24,1,0,0,3,27,63,6,0,0,10,14,8
Monterey Park Police Department,2019,89,193,0,128,0,0,58,116,33,0,3,4,0,0,0,50,1,0,19,4,1,0,1,9,53,9,0,1,22,15,10
Monterey Park Police Department,2020,84,175,4,71,0,0,59,141,19,1,4,5,0,0,0,51,1,0,12,3,0,0,1,17,56,11,0,0,16,22,3
Monterey Park Police Department,2022,80,92,3,35,0,5,41,72,7,2,1,8,1,0,0,45,0,0,31,0,0,0,4,25,61,15,0,2,9,27,6
Monterey Police Department,2017,88,226,3,108,0,29,178,295,277,2,6,5,0,0,0,54,13,0,4,1,0,3,3,36,147,20,0,13,26,34,15
Monterey Police Department,2018,103,271,2,92,0,49,153,351,267,0,7,13,0,0,0,30,7,0,2,0,0,2,4,22,152,17,0,14,12,19,15
Monterey Police Department,2019,97,276,2,72,0,34,185,312,282,2,3,8,0,0,0,26,4,0,1,0,0,1,3,15,142,20,0,15,26,28,11
Monterey Police Department,2020,85,251,1,74,0,22,103,376,127,2,5,19,0,0,0,38,10,0,1,0,0,1,3,9,132,14,0,11,13,25,8
Monterey Police Department,2022,44,307,2,14,0,124,238,148,28,0,4,15,0,0,0,58,12,0,5,0,0,0,0,12,110,16,0,5,18,23,2
Moraga Police Department,2017,4,8,0,1,0,0,13,2,4,0,2,3,0,0,0,6,0,0,2,0,0,0,0,0,4,0,0,0,1,2,1
Moraga Police Department,2018,5,11,0,2,0,0,23,4,14,1,1,0,0,0,0,5,2,0,2,0,0,0,0,0,7,1,0,0,0,1,1
Moraga Police Department,2019,4,12,0,2,0,0,18,4,2,0,0,1,0,0,0,9,1,0,0,0,0,0,0,7,3,3,0,0,1,1,0
Moraga Police Department,2020,3,15,0,3,0,0,14,8,1,0,0,4,0,0,0,10,0,0,2,0,0,0,0,1,6,5,0,0,0,1,0
Moraga Police Department,2021,5,6,0,0,0,6,19,4,0,0,1,2,0,0,0,11,0,0,2,0,0,0,0,1,3,4,0,0,0,2,0
Moraga Police Department,2022,5,10,0,2,0,5,3,3,0,0,0,0,0,0,0,15,0,0,1,0,1,0,1,1,0,2,0,0,1,3,0
Morgan Hill Police Department,2017,70,216,5,38,0,9,205,341,84,2,11,12,0,0,0,88,14,0,19,0,0,4,2,11,112,13,0,3,22,49,25
Morgan Hill Police Department,2018,75,221,4,34,0,12,149,222,81,1,5,6,0,0,0,74,11,0,17,1,1,0,6,13,108,20,0,1,27,30,15
Morgan Hill Police Department,2019,57,193,0,32,0,7,177,229,78,1,4,18,0,0,0,56,7,0,17,0,0,1,5,6,135,12,0,1,24,21,12
Morgan Hill Police Department,2020,61,145,2,29,0,3,122,231,49,1,10,10,0,0,0,38,3,1,23,1,0,1,4,8,86,13,0,0,20,40,17
Morgan Hill Police Department,2021,34,71,3,7,0,20,115,33,0,0,1,5,0,0,0,15,0,0,2,0,1,0,2,4,25,14,0,0,5,20,1
Morgan Hill Police Department,2022,38,128,1,5,0,27,216,35,0,3,2,11,0,0,0,28,8,0,16,1,0,0,2,2,44,66,0,0,7,29,1
Morro Bay Police Department,2017,22,81,1,26,0,4,55,211,109,0,2,2,0,0,0,13,2,0,3,0,0,0,1,5,33,5,0,34,10,0,6
Morro Bay Police Department,2018,35,91,0,9,0,3,71,131,64,0,1,4,0,0,0,9,2,0,3,0,0,0,1,2,27,1,0,17,1,1,3
Morro Bay Police Department,2019,23,101,0,9,0,5,70,198,63,0,8,1,0,0,0,7,1,0,2,0,0,0,0,1,30,2,0,2,11,6,0
Morro Bay Police Department,2020,48,111,0,16,0,5,61,185,77,0,4,4,0,0,0,7,4,0,1,1,0,0,0,3,20,3,0,2,6,6,4
Morro Bay Police Department,2022,32,189,2,9,0,2,78,118,77,0,3,2,0,0,0,5,0,0,1,0,0,0,0,3,24,2,0,0,2,4,1
Mount Shasta Police Department,2017,15,25,0,15,0,1,8,19,33,0,0,1,0,0,0,4,1,0,3,0,0,0,0,0,18,2,0,1,2,2,3
Mount Shasta Police Department,2018,10,8,0,9,0,0,32,4,38,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,11,1,0,2,3,1,0
Mount Shasta Police Department,2019,9,23,0,10,0,2,16,6,19,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,16,1,0,2,3,3,1
Mount Shasta Police Department,2020,10,20,1,3,0,0,11,8,27,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,6,0,0,0,3,0,2
Mount Shasta Police Department,2022,7,57,0,2,0,34,43,5,7,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,18,2,0,0,2,1,0
Mountain View Police Department,2017,129,318,1,38,0,8,162,386,322,0,8,9,0,0,0,100,4,1,10,1,0,0,2,19,140,28,0,3,15,38,28
Mountain View Police Department,2018,127,246,3,49,0,1,165,322,209,0,7,9,0,0,0,89,1,0,7,1,0,0,6,20,133,22,0,9,16,29,18
Mountain View Police Department,2019,110,242,1,56,0,3,112,298,293,0,4,18,0,0,0,52,1,1,10,0,0,0,10,22,130,28,0,3,21,34,26
Mountain View Police Department,2020,100,135,2,34,0,3,79,232,152,0,3,8,0,0,0,75,0,0,15,0,0,1,4,17,117,21,0,2,18,30,17
Mountain View Police Department,2021,1,15,1,3,0,19,54,6,0,0,0,2,0,0,0,3,0,0,4,0,0,0,0,0,5,2,0,0,1,0,2
Mountain View Police Department,2022,49,165,2,10,0,169,237,46,0,0,1,23,0,0,0,37,0,0,29,0,0,0,4,15,111,4,0,4,18,18,4
Murrieta Police Department,2017,126,343,1,84,0,1,283,831,103,5,19,13,0,0,0,37,2,0,10,0,0,0,4,21,130,55,0,8,26,38,9
Murrieta Police Department,2018,121,293,1,83,0,1,170,754,94,3,18,12,0,0,0,44,2,0,23,1,0,1,2,19,110,38,0,1,14,29,6
Murrieta Police Department,2019,181,182,1,99,0,1,195,683,110,1,10,9,0,0,0,50,0,0,18,3,0,1,4,9,101,24,0,1,16,27,10
Murrieta Police Department,2020,156,138,1,52,0,1,126,723,85,3,5,9,0,0,0,33,0,0,15,1,0,0,2,11,103,24,0,2,15,49,7
Murrieta Police Department,2021,102,502,1,13,0,72,101,168,0,0,6,10,0,0,0,41,0,0,5,1,0,14,1,11,105,42,0,2,14,38,4
Murrieta Police Department,2022,130,586,1,20,0,95,151,140,0,0,7,15,0,0,0,52,4,0,15,0,2,13,3,14,137,46,0,1,26,35,2
Napa County Sheriff's Department,2017,61,414,0,38,0,3,31,199,37,2,12,3,0,0,0,21,0,0,13,0,0,0,3,7,46,11,0,0,4,21,12
Napa County Sheriff's Department,2018,56,369,0,17,0,2,30,208,26,1,5,4,0,0,0,16,1,0,4,0,0,2,1,6,44,5,0,0,5,27,8
Napa County Sheriff's Department,2019,63,339,0,18,0,0,20,173,20,0,5,3,0,0,0,19,4,0,2,0,0,0,3,3,39,12,0,0,5,12,6
Napa County Sheriff's Department,2020,37,173,4,20,0,0,16,133,28,0,4,3,0,0,0,13,1,0,9,0,0,0,1,10,20,5,0,1,9,19,4
Napa County Sheriff's Department,2022,50,144,0,18,0,4,17,160,14,1,1,0,0,0,0,13,0,0,9,0,0,0,1,1,33,4,0,1,5,9,4
Napa Police Department,2017,219,476,1,93,0,4,216,289,243,1,3,8,0,0,0,56,21,0,9,1,0,0,3,26,162,15,0,0,36,23,10
Napa Police Department,2018,192,414,1,81,0,9,178,356,206,4,5,4,0,0,0,45,24,0,7,0,0,0,6,21,157,19,0,0,19,43,10
Napa Police Department,2019,173,406,2,62,0,1,163,331,176,2,4,9,0,0,0,42,11,0,9,1,0,1,16,38,161,9,0,0,18,35,15
Napa Police Department,2020,173,251,5,48,0,2,109,328,157,0,3,7,0,0,0,39,8,0,10,0,0,0,8,22,155,23,0,1,25,22,6
Napa Police Department,2022,148,282,3,39,0,16,174,266,175,1,1,3,0,0,0,58,2,0,11,0,0,0,4,16,143,8,0,0,24,23,15
National City Police Department,2017,204,261,2,36,5,2,185,336,348,3,10,8,0,0,0,248,7,0,50,7,0,37,9,38,87,11,0,26,38,35,14
National City Police Department,2018,184,126,1,24,1,14,180,285,413,2,6,14,0,0,0,164,2,0,29,3,0,28,3,42,84,10,0,5,32,45,10
National City Police Department,2019,223,95,1,38,4,1,147,262,332,0,5,6,0,0,0,238,0,0,35,0,0,31,8,60,103,9,0,4,39,33,8
National City Police Department,2020,225,103,0,20,0,0,151,280,231,0,1,10,0,0,0,82,1,0,44,4,0,28,2,45,96,14,0,5,29,51,15
National City Police Department,2021,47,722,4,7,0,218,201,74,0,0,0,6,0,0,0,31,0,0,14,2,1,31,1,30,72,12,0,2,14,32,2
National City Police Department,2022,79,348,2,23,0,149,170,118,0,1,1,8,0,0,1,94,4,0,5,5,2,8,0,48,181,12,0,0,23,35,1
Nevada City Police Department,2017,10,120,0,3,0,0,32,30,75,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,7,4,0,0
Nevada City Police Department,2018,9,136,0,1,0,1,49,41,79,0,1,3,0,0,0,4,5,0,6,0,0,0,0,0,6,0,0,2,7,1,2
Nevada City Police Department,2019,12,148,0,7,0,0,63,49,61,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,7,1,0,3,8,3,1
Nevada City Police Department,2020,15,116,0,9,0,0,32,40,48,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,9,4,0,0,3,4,1
Nevada City Police Department,2022,8,63,1,1,0,11,13,23,27,0,0,1,0,0,0,3,0,0,5,0,0,0,0,2,8,1,0,2,2,8,1
Nevada County Sheriff's Department,2017,118,357,0,37,0,2,24,214,31,0,14,14,0,0,0,11,8,0,13,2,0,0,3,6,90,9,0,4,30,21,5
Nevada County Sheriff's Department,2018,94,460,1,35,0,2,21,202,49,0,12,2,0,0,0,8,13,0,8,5,0,1,1,0,96,2,0,4,40,24,6
Nevada County Sheriff's Department,2019,100,242,0,19,0,0,20,146,34,2,10,3,0,0,0,6,32,0,7,0,0,0,5,2,123,12,0,2,39,14,15
Nevada County Sheriff's Department,2020,64,163,0,12,0,3,6,86,13,0,15,1,0,0,0,5,5,0,6,3,0,0,1,2,66,0,0,2,19,14,6
Nevada County Sheriff's Department,2022,59,137,1,4,0,8,4,27,0,0,1,1,0,0,0,4,2,0,2,0,0,0,1,8,53,2,0,3,14,6,1
Newark Police Department,2017,39,244,0,35,0,2,71,275,53,0,7,7,0,0,0,87,1,0,9,3,0,0,2,24,90,26,0,3,17,22,10
Newark Police Department,2018,41,210,1,15,0,6,91,244,42,3,4,5,0,0,0,53,1,0,3,1,0,0,2,17,89,12,0,5,8,15,5
Newark Police Department,2019,44,241,3,24,0,3,97,213,26,0,2,4,0,0,0,40,0,0,2,1,0,0,1,11,81,20,0,1,11,16,3
Newark Police Department,2020,46,146,0,14,0,0,77,191,20,0,2,4,0,0,0,63,0,0,9,0,0,0,0,15,45,25,0,3,10,26,5
Newark Police Department,2021,6,69,0,0,0,8,18,9,0,0,1,5,0,0,0,13,0,0,1,0,0,0,0,0,15,5,0,0,3,2,0
Newark Police Department,2022,26,168,0,17,0,28,62,48,0,1,1,12,0,0,0,23,0,0,2,2,0,0,2,5,91,16,0,4,22,16,1
Newman Police Department,2017,24,202,0,6,0,2,20,70,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,26,1,0,0,2,7,1
Newman Police Department,2018,15,222,0,2,0,1,26,63,7,0,2,2,0,0,0,1,0,0,9,3,1,0,1,7,20,0,0,0,3,3,2
Newman Police Department,2019,24,125,0,5,0,0,16,35,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,3,19,0,0,1,5,2,3
Newman Police Department,2020,20,93,1,6,0,1,14,57,12,0,3,4,0,0,0,2,0,0,5,0,0,0,0,1,15,1,0,0,11,2,1
Newman Police Department,2022,19,78,1,4,0,2,38,40,7,0,0,5,0,0,0,3,0,0,2,0,0,1,1,1,19,1,0,0,11,10,5
Newport Beach Police Department,2017,140,362,2,112,47,10,419,773,448,0,31,60,0,0,0,124,129,0,52,0,0,14,1,18,152,50,0,1,41,67,17
Newport Beach Police Department,2018,171,455,1,100,24,5,426,819,476,2,19,46,0,0,0,118,73,0,33,1,0,17,1,19,185,49,0,2,52,65,20
Newport Beach Police Department,2019,129,536,5,117,21,2,466,821,386,1,20,62,0,0,0,146,35,0,28,2,0,5,1,25,189,40,0,2,41,82,13
Newport Beach Police Department,2020,145,367,2,113,1,4,396,651,247,0,16,28,0,0,0,120,24,0,29,1,0,2,2,30,173,49,0,1,38,74,12
Newport Beach Police Department,2022,146,388,2,106,9,77,319,601,269,2,2,29,0,0,0,191,15,1,14,2,0,1,2,25,179,59,0,0,43,52,10
Novato Police Department,2017,94,298,0,61,0,5,134,274,114,2,6,4,0,0,0,30,35,0,9,0,0,0,5,16,121,17,0,32,27,15,22
Novato Police Department,2018,121,309,4,35,0,5,227,420,124,2,2,1,0,0,0,22,31,1,4,0,0,2,7,16,119,22,0,36,21,19,14
Novato Police Department,2019,86,268,0,40,0,4,108,273,124,0,3,3,0,0,0,14,31,0,13,0,0,0,3,6,101,18,0,8,12,7,13
Novato Police Department,2020,76,204,8,14,2,5,79,283,29,1,1,0,0,0,0,13,6,0,5,1,0,0,1,5,118,12,0,1,26,12,13
Novato Police Department,2021,5,10,0,0,0,0,0,11,0,0,1,2,0,0,0,5,0,0,0,0,0,0,2,0,2,1,0,0,0,3,0
Novato Police Department,2022,70,145,6,10,0,24,28,185,0,1,2,3,0,0,0,43,0,0,14,1,0,0,4,6,83,21,0,1,24,18,2
Oakdale Police Department,2017,61,656,0,40,1,5,74,276,99,0,5,23,0,0,0,28,2,0,15,0,0,0,3,5,93,16,0,0,19,19,5
Oakdale Police Department,2018,46,504,0,8,0,4,43,235,76,1,0,6,0,0,0,22,4,0,5,0,0,0,2,9,77,11,0,0,17,21,8
Oakdale Police Department,2019,64,535,0,10,0,2,67,435,119,0,3,2,0,0,0,20,1,0,16,1,0,0,0,4,77,17,0,1,21,32,4
Oakdale Police Department,2020,78,528,6,26,0,5,95,456,96,0,10,6,0,0,0,17,1,0,5,1,6,0,3,10,106,13,0,0,19,44,5
Oakdale Police Department,2022,68,264,1,5,0,37,99,204,40,1,4,8,0,0,0,11,2,0,6,0,0,7,4,4,91,9,0,1,20,36,9
Oakland Police Department,2017,822,2791,14,244,0,10,294,1332,5,12,36,15,8,0,0,88,5,2,560,45,2,481,51,336,1978,128,0,15,626,435,183
Oakland Police Department,2018,876,2175,27,209,0,12,250,824,37,26,25,13,3,0,0,121,9,5,430,23,0,382,30,415,1925,127,0,6,538,376,107
Oakland Police Department,2019,934,1845,12,263,0,18,306,590,18,27,34,20,11,0,0,119,13,1,470,37,3,373,28,347,1871,137,0,3,407,320,68
Oakland Police Department,2020,1066,1352,22,348,0,42,232,341,9,20,25,5,10,0,0,101,2,2,565,52,6,184,30,294,1632,214,0,1,366,402,54
Oakland Police Department,2022,1089,1133,21,186,0,12,146,246,5,3,24,4,3,0,0,61,1,4,371,31,3,186,29,260,1126,195,0,0,492,420,43
Oceanside Police Department,2017,458,693,3,64,3,3,319,683,1119,2,9,18,0,0,0,269,21,0,33,10,0,12,7,54,313,49,0,5,57,104,32
Oceanside Police Department,2018,455,531,2,51,3,7,408,1185,1197,7,10,25,0,0,0,305,15,1,26,8,0,12,6,48,315,69,0,5,72,98,30
Oceanside Police Department,2019,487,576,10,44,1,4,342,1621,817,4,11,24,0,0,0,489,8,2,33,4,0,7,8,66,359,62,0,6,76,120,50
Oceanside Police Department,2020,518,352,19,49,0,1,270,2059,493,1,5,6,0,0,0,296,8,1,31,4,0,1,2,54,293,48,0,87,68,131,38
Oceanside Police Department,2021,101,1248,7,19,3,497,284,662,0,0,3,8,0,0,0,53,4,0,12,6,0,2,4,21,244,43,0,24,34,72,2
Oceanside Police Department,2022,205,751,8,36,0,534,369,646,0,3,2,11,0,0,0,112,4,0,25,6,0,0,1,58,524,74,0,17,59,81,4
Ontario Police Department,2017,578,2557,8,118,0,12,274,2223,364,12,33,267,0,0,0,608,11,0,25,4,0,17,19,67,447,163,0,7,65,188,54
Ontario Police Department,2018,584,2029,11,100,0,11,326,1905,359,13,29,38,3,0,0,490,14,1,24,1,0,3,18,87,388,147,0,4,75,151,56
Ontario Police Department,2019,505,1443,13,127,0,9,241,1375,218,6,16,34,0,0,0,275,0,0,32,2,0,9,12,88,373,126,0,2,66,122,52
Ontario Police Department,2020,581,1062,13,103,0,6,234,1444,166,3,20,20,3,0,0,159,4,0,22,9,0,5,15,72,269,165,0,5,68,141,47
Ontario Police Department,2022,425,879,12,105,0,4,228,688,176,14,14,13,0,0,0,329,10,0,32,5,1,1,19,65,302,220,0,2,72,239,70
Orange County Sheriff's Department,2017,172,1447,4,67,3,7,82,1045,21,2,17,43,0,0,0,55,6,3,12,4,0,1,12,20,163,50,0,1,42,128,34
Orange County Sheriff's Department,2018,157,1718,3,81,0,2,112,1636,19,2,18,37,0,0,0,105,2,1,12,1,0,22,14,23,184,59,0,1,36,127,28
Orange County Sheriff's Department,2019,183,1137,1,81,3,4,140,1877,26,1,27,47,0,0,0,88,3,1,15,3,1,15,16,22,160,42,0,2,33,100,16
Orange County Sheriff's Department,2020,133,562,2,48,0,3,73,1276,18,1,14,20,0,0,0,65,1,0,12,2,0,11,5,19,125,49,0,2,37,84,9
Orange County Sheriff's Department,2021,12,481,3,8,0,6,9,134,0,0,2,20,0,2,0,8,0,0,2,0,0,1,1,3,62,24,0,0,14,33,1
Orange County Sheriff's Department,2022,54,1172,9,17,0,17,33,319,0,1,19,51,0,5,0,23,0,0,3,0,0,5,1,5,151,59,0,0,35,78,6
Orange Cove Police Department,2017,45,154,1,0,1,0,24,40,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2,29,4,0,0,1,4,4
Orange Cove Police Department,2018,40,171,0,3,2,0,22,33,2,0,0,1,0,0,0,0,0,0,4,0,1,0,1,2,14,3,0,0,5,9,5
Orange Cove Police Department,2019,35,106,0,3,0,0,13,44,4,0,0,0,0,0,0,2,0,0,1,0,0,0,1,3,20,1,0,0,4,10,4
Orange Cove Police Department,2020,34,48,1,6,0,0,21,44,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,0,0,0,4,7,4
Orange Cove Police Department,2022,35,61,0,2,0,0,24,26,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,27,1,0,0,4,12,3
Orange Police Department,2017,219,1172,6,94,26,3,432,1695,99,1,8,24,0,0,0,160,28,0,18,2,0,0,3,35,216,75,0,17,67,89,17
Orange Police Department,2018,198,1489,2,121,17,2,551,1752,121,9,8,25,0,0,0,175,20,4,18,2,0,0,4,26,227,91,0,65,63,83,33
Orange Police Department,2019,188,1160,4,147,10,5,433,1547,83,0,21,19,0,0,0,112,21,0,13,1,0,0,6,42,240,86,0,73,73,73,21
Orange Police Department,2020,188,1008,10,118,13,4,390,1765,64,1,9,19,0,0,0,98,10,0,5,2,0,1,4,25,208,96,0,147,66,49,30
Orange Police Department,2022,78,1393,9,49,0,17,287,397,2,1,5,30,0,0,0,84,12,0,8,0,0,0,4,29,167,42,0,98,54,48,4
Orland Police Department,2017,23,106,1,5,4,4,30,85,7,0,0,3,0,0,0,4,2,0,4,2,0,0,0,1,31,2,0,2,10,8,1
Orland Police Department,2018,17,129,1,3,3,5,22,55,0,0,2,0,0,0,0,5,5,0,1,0,0,0,0,2,50,1,0,4,8,2,2
Orland Police Department,2019,12,152,0,5,0,1,26,82,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,29,1,0,2,5,1,1
Orland Police Department,2020,12,131,0,4,5,3,16,53,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,33,0,0,1,2,1,3
Orland Police Department,2022,16,83,0,1,0,0,23,75,5,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,30,3,0,0,4,10,4
Oroville Police Department,2017,75,724,6,29,1,5,53,303,124,0,5,15,0,0,0,306,3,1,21,0,0,1,3,13,137,11,0,7,36,33,20
Oroville Police Department,2018,80,695,2,15,0,15,51,319,263,1,1,5,0,0,0,266,13,0,23,2,0,0,0,12,150,9,0,4,39,25,19
Oroville Police Department,2019,71,573,13,20,0,10,55,296,156,1,6,14,0,0,0,96,17,0,29,2,0,0,2,12,120,15,0,15,34,35,16
Oroville Police Department,2020,53,448,9,10,0,5,52,304,125,1,3,3,0,0,0,58,9,1,14,1,1,0,4,11,113,12,0,8,43,29,19
Oroville Police Department,2021,10,145,0,6,0,54,33,6,0,0,2,4,0,0,0,11,0,0,3,0,0,0,1,1,21,3,0,0,7,2,0
Oroville Police Department,2022,61,308,8,10,0,276,40,23,0,0,4,8,0,0,0,45,1,1,6,1,1,0,2,7,85,7,0,2,39,18,0
Oxnard Police Department,2017,430,3060,9,166,50,22,561,1982,15,0,7,23,0,0,0,378,30,0,177,13,2,1,3,86,543,85,0,74,189,168,40
Oxnard Police Department,2018,458,3109,8,158,61,15,736,2530,1,0,7,25,2,0,0,339,35,1,212,11,9,0,2,93,637,85,0,141,185,183,52
Oxnard Police Department,2019,417,3231,11,217,113,25,678,2345,177,0,5,24,0,0,0,242,29,0,124,12,8,0,3,82,708,75,0,49,200,195,52
Oxnard Police Department,2020,406,1906,13,192,34,18,523,1632,107,0,2,48,2,0,0,233,16,0,115,9,2,8,8,84,514,49,0,214,169,176,43
Oxnard Police Department,2022,384,1295,11,100,6,9,500,668,76,0,5,11,0,0,0,153,9,1,61,5,0,0,4,53,447,18,0,51,104,173,54
Pacific Grove Police Department,2017,8,36,0,11,0,3,28,52,16,0,1,1,0,0,0,5,4,0,2,0,0,0,1,0,23,4,0,1,5,3,0
Pacific Grove Police Department,2018,12,61,0,14,0,5,12,59,4,0,1,0,0,0,0,2,5,0,0,0,0,0,1,0,30,1,0,1,5,4,3
Pacific Grove Police Department,2019,5,50,0,7,0,1,20,34,14,0,1,4,0,0,0,2,2,0,0,0,0,0,0,5,22,0,0,1,3,1,2
Pacific Grove Police Department,2020,6,51,0,3,0,7,12,41,18,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,31,1,0,0,0,2,0
Pacific Grove Police Department,2021,6,64,0,6,0,7,12,25,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,13,2,0,1,2,4,0
Pacific Grove Police Department,2022,5,68,0,1,0,13,18,27,0,0,1,4,0,0,0,7,1,0,0,0,0,0,0,0,11,1,0,0,2,2,0
Pacifica Police Department,2017,39,84,0,23,0,0,86,102,109,0,0,5,0,0,0,12,16,0,6,0,0,0,0,3,44,6,0,3,11,6,3
Pacifica Police Department,2018,46,112,1,17,0,0,92,138,105,0,1,15,0,0,0,14,14,0,2,0,1,0,1,3,46,3,0,0,2,11,2
Pacifica Police Department,2019,52,117,1,14,0,0,80,140,123,0,1,3,0,0,0,4,16,0,2,0,0,0,0,1,61,3,0,0,6,12,1
Pacifica Police Department,2020,56,91,1,13,0,0,67,122,85,0,1,3,0,0,0,6,5,0,6,0,0,0,0,4,41,8,0,0,6,15,1
Pacifica Police Department,2022,25,203,1,13,0,69,72,49,8,0,0,21,0,0,0,14,14,0,2,0,0,0,1,1,34,8,0,0,5,9,0
Palm Springs Police Department,2017,190,746,4,73,0,7,277,558,134,5,5,8,0,0,0,30,13,1,12,3,0,0,8,30,183,52,0,3,26,40,8
Palm Springs Police Department,2018,195,663,0,63,0,1,223,669,125,1,2,9,0,0,0,53,9,0,14,2,0,0,5,29,178,67,0,0,18,38,12
Palm Springs Police Department,2019,173,571,1,45,0,5,128,561,123,3,6,8,0,0,0,54,0,0,12,2,0,0,4,15,172,35,0,2,24,42,11
Palm Springs Police Department,2020,169,430,2,43,0,11,87,380,69,2,5,2,0,0,0,19,0,1,7,1,0,1,6,21,161,43,0,3,38,41,5
Palm Springs Police Department,2022,188,422,9,40,0,7,161,371,66,2,1,2,0,0,0,22,2,0,10,4,0,0,5,27,195,40,0,2,48,56,6
Palo Alto Police Department,2017,69,680,2,50,0,3,96,301,164,2,4,10,0,0,0,97,9,1,4,1,0,0,3,21,83,6,0,79,27,23,15
Palo Alto Police Department,2018,50,601,3,52,0,3,110,429,157,0,6,10,0,0,0,72,10,1,14,0,0,1,3,6,79,28,0,62,9,29,12
Palo Alto Police Department,2019,51,492,1,36,0,6,143,353,128,1,1,9,0,0,0,50,3,0,8,1,0,0,3,12,83,12,0,3,15,27,15
Palo Alto Police Department,2020,41,158,2,35,0,3,89,265,36,1,3,6,0,0,0,57,2,0,11,0,1,0,3,31,53,10,0,5,16,17,6
Palo Alto Police Department,2021,3,13,0,1,0,12,9,2,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,2,4,0,0,2,0,0,0
Palo Alto Police Department,2022,24,298,3,16,0,70,70,64,0,1,4,15,0,0,0,179,0,0,6,0,0,0,1,25,83,7,0,5,15,16,3
Palos Verdes Estates Police Department,2017,4,23,0,47,0,0,69,58,28,0,3,1,0,0,0,24,0,0,9,0,0,0,0,2,9,4,0,0,0,4,1
Palos Verdes Estates Police Department,2018,9,30,0,9,0,1,41,28,10,0,0,1,0,0,0,11,0,0,8,0,0,0,0,0,1,0,0,0,1,3,1
Palos Verdes Estates Police Department,2019,5,21,0,17,0,0,48,55,8,0,0,6,0,0,0,10,0,0,12,0,0,0,0,1,7,1,0,0,1,4,0
Palos Verdes Estates Police Department,2020,5,16,0,5,0,0,26,41,4,0,1,0,0,0,0,12,0,0,10,0,0,0,1,4,5,4,0,1,0,6,0
Palos Verdes Estates Police Department,2021,2,49,0,3,0,0,19,36,0,0,1,6,0,0,0,7,0,0,11,0,0,0,0,0,10,8,0,0,1,4,0
Palos Verdes Estates Police Department,2022,2,68,0,8,0,7,39,49,0,0,0,8,0,0,0,17,0,0,4,0,0,0,0,0,11,2,0,0,0,9,0
Paradise Police Department,2017,53,644,0,17,0,3,63,205,93,0,5,3,0,0,0,17,12,0,0,0,0,0,0,4,112,13,0,5,12,33,3
