AGENCY_NAME,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
CSU Monterey Bay Police Department,2020,5,25,0,1,0,0,6,25,1,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,0,7,3
CSU Monterey Bay Police Department,2021,0,12,0,1,0,1,5,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,4,0
CSU Monterey Bay Police Department,2022,1,13,0,2,0,1,11,5,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,1,3,0
CSU San Marcos Police Department,2017,0,6,1,0,0,0,14,14,15,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,2,0,1
CSU San Marcos Police Department,2018,1,7,0,2,0,0,16,15,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1
CSU San Marcos Police Department,2019,0,9,0,0,0,0,24,28,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1
CSU San Marcos Police Department,2020,0,5,0,0,0,0,12,21,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,3,0
CSU San Marcos Police Department,2021,0,6,0,1,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0
CSU San Marcos Police Department,2022,0,9,0,0,0,2,16,5,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0
Cal Poly San Luis Obispo Police Department,2017,1,2,0,1,0,1,4,5,58,0,0,0,0,0,0,1,45,0,1,0,0,0,0,0,3,4,0,0,0,1,1
Cal Poly San Luis Obispo Police Department,2018,3,13,1,0,0,2,6,12,45,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,6,1,0,0,0,2,1
Cal Poly San Luis Obispo Police Department,2019,2,5,0,2,0,1,9,12,42,0,0,1,0,0,0,0,20,0,1,0,0,0,0,0,5,0,0,0,0,3,1
Cal Poly San Luis Obispo Police Department,2020,1,9,0,0,0,4,0,15,19,0,0,1,0,0,0,2,3,0,1,0,0,0,0,0,2,1,0,1,0,2,0
Cal Poly San Luis Obispo Police Department,2021,1,3,0,1,0,8,4,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cal Poly San Luis Obispo Police Department,2022,1,7,0,0,0,4,3,5,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Calaveras County Sheriff's Department,2017,150,368,3,10,0,7,5,169,0,1,5,1,4,0,0,14,9,0,8,1,3,0,4,11,190,9,0,0,21,28,18
Calaveras County Sheriff's Department,2018,112,331,0,28,0,7,4,142,0,0,2,3,0,0,0,9,7,0,4,1,1,0,1,11,142,3,0,0,20,22,9
Calaveras County Sheriff's Department,2019,114,331,1,16,0,4,0,146,0,0,1,7,0,0,0,7,0,0,4,0,1,0,4,5,110,9,0,1,21,17,12
Calaveras County Sheriff's Department,2020,114,283,0,20,4,9,4,147,0,0,4,2,0,0,0,8,5,0,2,1,2,0,2,1,97,8,0,0,15,14,10
Calaveras County Sheriff's Department,2021,4,11,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,2,2,0
Calaveras County Sheriff's Department,2022,73,236,0,8,0,23,2,77,0,0,1,13,0,0,0,9,2,0,2,0,0,0,5,3,121,6,0,0,14,45,5
Carlsbad Police Department,2017,179,128,13,57,0,1,358,303,265,3,4,5,0,0,0,162,11,0,27,0,0,4,1,15,165,22,0,1,20,30,30
Carlsbad Police Department,2018,164,189,3,43,1,0,256,413,299,3,7,6,0,0,0,162,6,0,42,0,0,2,2,24,132,69,0,0,13,21,7
Carlsbad Police Department,2019,137,187,9,41,0,4,292,320,288,8,13,7,0,0,0,141,9,0,32,5,0,1,1,21,113,70,0,1,14,22,14
Carlsbad Police Department,2020,187,118,2,32,0,2,283,535,268,5,8,4,0,0,0,80,3,0,34,6,0,0,4,13,108,67,0,5,13,20,4
Carlsbad Police Department,2021,22,1354,3,32,0,637,1134,254,0,0,6,25,0,0,0,57,18,0,7,0,0,2,0,5,91,31,0,4,2,19,2
Carlsbad Police Department,2022,57,507,4,34,0,536,780,352,0,2,6,20,0,0,0,124,15,0,16,0,0,0,3,27,203,94,0,0,20,32,10
Carmel Police Department,2017,5,31,0,8,0,1,33,40,17,0,1,3,0,0,0,1,4,0,0,0,0,0,1,0,5,2,0,0,0,5,0
Carmel Police Department,2018,6,22,0,2,0,0,35,66,8,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,12,1,0,0,0,3,2
Carmel Police Department,2019,11,15,0,10,0,0,61,33,13,0,1,2,0,0,0,8,4,0,0,0,0,0,0,0,14,0,0,2,3,0,1
Carmel Police Department,2020,1,27,0,8,0,1,30,44,4,0,0,4,0,0,0,4,0,0,2,0,0,0,0,4,17,1,0,5,1,5,1
Carmel Police Department,2021,6,14,0,2,0,9,31,16,0,0,1,13,0,0,0,2,0,0,0,0,0,0,0,2,6,2,0,0,2,6,0
Carmel Police Department,2022,2,17,0,7,0,9,35,27,0,0,0,5,0,0,0,7,2,0,0,0,0,0,0,0,6,4,0,0,2,5,1
Chino Police Department,2017,232,749,1,141,0,15,258,853,110,4,23,34,0,0,0,105,15,0,33,1,0,4,12,43,155,47,0,4,33,63,36
Chino Police Department,2018,228,671,2,156,0,10,217,743,85,7,20,31,0,0,0,144,6,1,69,0,1,0,11,44,151,81,0,11,37,46,38
Chino Police Department,2019,264,623,4,181,5,4,187,868,88,5,41,32,0,0,0,237,13,1,52,3,0,3,14,70,179,90,0,5,31,61,26
Chino Police Department,2020,260,462,5,131,0,3,178,893,53,5,13,30,0,0,0,139,0,0,60,5,2,0,11,35,218,99,0,9,47,69,32
Chino Police Department,2021,225,797,1,33,0,49,208,457,0,1,27,61,0,0,0,171,17,0,21,1,0,0,13,28,156,135,0,14,32,48,4
Chino Police Department,2022,181,1114,3,57,0,47,257,578,0,5,33,92,3,0,0,293,4,1,21,0,1,0,11,29,228,164,0,20,44,87,13
Chula Vista Police Department,2017,497,550,8,105,6,5,341,1061,203,3,13,29,2,0,0,359,33,1,61,1,0,14,11,105,419,42,0,1,70,143,35
Chula Vista Police Department,2018,563,585,5,90,0,5,399,1295,172,3,7,35,0,0,0,216,13,0,42,8,0,9,4,85,396,42,0,1,68,146,24
Chula Vista Police Department,2019,528,590,11,69,8,7,300,1180,171,7,4,22,0,0,0,204,118,0,41,3,0,2,7,110,392,38,0,0,105,123,21
Chula Vista Police Department,2020,510,378,11,81,10,4,241,856,80,1,6,17,0,0,0,149,9,0,62,5,0,12,1,86,281,51,0,0,86,88,18
Chula Vista Police Department,2021,109,2182,3,24,28,104,331,461,0,0,7,8,0,0,0,64,31,0,16,7,0,12,5,27,212,39,0,0,42,88,5
Chula Vista Police Department,2022,229,1096,14,42,0,125,328,448,0,0,15,10,0,0,0,93,48,0,23,5,0,18,1,96,570,63,0,2,76,99,7
Clayton Police Department,2017,7,16,0,8,0,0,15,22,6,0,1,0,0,0,0,5,0,0,2,0,0,0,0,1,6,3,0,0,0,1,0
Clayton Police Department,2018,7,5,0,4,0,0,20,39,3,0,1,1,0,0,0,13,1,0,1,0,0,0,0,1,17,3,0,0,2,8,0
Clayton Police Department,2019,0,7,0,15,0,0,23,30,3,0,0,2,0,0,0,6,1,0,4,0,0,0,0,0,4,4,0,0,0,2,0
Clayton Police Department,2020,3,3,0,1,0,0,7,12,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,1,5,2,0,0,1,3,2
Clayton Police Department,2021,1,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton Police Department,2022,2,16,1,0,0,0,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0
Colton Police Department,2017,122,1113,1,64,0,7,137,400,97,1,2,11,0,0,0,37,0,1,19,7,6,1,0,24,85,40,0,2,30,55,18
Colton Police Department,2018,80,1085,5,47,0,5,141,589,28,0,1,11,0,0,0,48,1,0,29,9,8,0,0,22,108,34,0,29,36,44,10
Colton Police Department,2019,91,772,1,52,0,5,120,443,87,0,5,8,0,0,0,23,0,0,22,1,3,0,0,24,88,26,0,5,27,47,14
Colton Police Department,2020,71,495,2,30,0,2,73,431,27,1,0,2,0,0,0,28,0,0,30,3,1,0,3,21,94,19,0,4,46,49,10
Colton Police Department,2021,33,276,1,19,0,18,76,220,0,0,1,6,3,0,0,27,1,0,15,3,0,0,1,9,85,41,0,2,44,42,3
Colton Police Department,2022,45,264,2,11,0,55,87,130,0,1,0,6,0,0,0,27,0,0,15,4,0,0,1,7,86,21,0,2,31,25,1
Concord Police Department,2017,220,392,5,95,0,7,213,846,227,1,8,34,0,0,0,155,4,0,95,4,0,15,7,58,299,58,0,5,29,79,22
Concord Police Department,2018,214,723,9,91,0,4,225,676,222,8,5,18,0,0,0,122,3,0,48,3,0,5,4,69,279,40,0,3,31,75,17
Concord Police Department,2019,210,932,9,108,0,7,247,666,188,8,5,11,0,0,0,123,0,0,86,3,0,2,5,66,274,62,0,3,35,58,29
Concord Police Department,2020,170,314,12,47,0,2,180,398,60,2,5,8,0,0,0,69,1,0,39,2,0,2,2,43,211,54,0,6,33,54,14
Concord Police Department,2021,149,769,15,38,0,10,182,397,0,2,4,13,0,0,0,64,1,0,55,3,0,0,3,28,182,43,0,4,35,77,4
Concord Police Department,2022,187,807,21,30,0,12,289,484,0,5,3,28,0,0,0,60,0,1,26,3,0,0,7,38,255,57,0,5,51,67,7
Corcoran Police Department,2017,55,233,0,10,17,7,41,145,42,0,0,3,0,0,0,5,1,0,8,1,0,0,3,5,45,2,0,0,12,17,3
Corcoran Police Department,2018,67,365,1,22,20,8,50,106,45,0,1,0,0,0,0,9,0,0,10,0,2,0,2,5,39,10,0,0,4,18,5
Corcoran Police Department,2019,52,282,0,12,25,5,66,120,53,0,2,2,0,0,0,8,1,0,2,0,0,0,5,1,32,6,0,0,7,13,6
Corcoran Police Department,2020,71,198,1,15,4,2,58,78,27,0,1,3,0,0,0,3,0,0,9,2,0,0,4,2,18,13,0,0,9,24,4
Corcoran Police Department,2021,14,90,0,0,0,25,32,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,1,14,1,0,0,1,3,0
Corcoran Police Department,2022,33,282,0,7,0,41,37,30,0,1,3,3,0,0,0,7,1,1,7,5,1,0,3,4,31,4,0,0,5,28,9
Corning Police Department,2017,14,36,1,3,2,1,35,124,34,0,0,0,1,0,0,5,0,0,5,0,0,0,1,4,16,20,0,0,6,22,3
