,county_name,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",agency_count
154,MONTEREY,2021,191,832,4,50,0,126,425,451,0,1,14,66,0,0,0,70,14,0,34,9,1,0,4,23,278,31,0,9,49,132,11,11
155,MONTEREY,2022,502,1818,24,141,2,457,1270,1032,43,6,30,95,0,0,0,295,52,1,95,17,5,7,29,110,942,81,0,34,171,316,42,14
156,NAPA,2017,291,928,1,138,0,11,334,540,295,3,17,11,0,0,0,80,22,0,24,1,0,0,6,33,230,26,0,3,40,46,23,4
157,NAPA,2018,266,825,1,101,0,13,301,603,241,5,15,8,0,0,0,64,27,0,14,0,0,2,7,29,223,29,0,4,24,70,18,4
158,NAPA,2019,252,781,2,81,0,1,243,525,201,2,9,12,0,0,0,65,16,0,12,1,0,1,19,43,219,22,0,2,23,48,22,4
159,NAPA,2020,236,453,9,70,0,3,160,502,188,0,7,10,0,0,0,56,12,0,24,0,0,0,9,33,190,32,0,4,38,42,10,4
160,NAPA,2022,217,463,3,59,0,28,252,450,197,2,2,5,0,0,0,74,2,0,21,0,0,0,5,18,195,14,0,1,31,34,19,4
161,NEVADA,2017,191,863,1,60,0,10,223,444,269,1,17,28,0,0,0,135,18,0,49,2,1,0,4,10,221,28,0,26,59,31,13,4
162,NEVADA,2018,165,992,5,51,0,17,324,493,285,0,18,22,0,0,0,82,29,0,35,5,1,1,2,10,237,13,0,19,81,36,17,4
163,NEVADA,2019,212,818,3,48,0,13,250,428,269,3,21,24,0,0,0,62,44,0,24,3,2,0,7,8,291,26,0,24,84,30,30,4
164,NEVADA,2020,167,602,5,38,0,4,171,334,175,0,19,10,0,0,0,42,15,0,32,3,1,0,1,9,199,16,0,10,49,34,14,4
165,NEVADA,2021,7,14,0,2,0,12,8,22,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,4,1,0,0,4,1,0,1
166,NEVADA,2022,166,344,5,12,0,125,87,178,27,2,4,11,0,1,0,36,3,0,20,0,1,0,2,18,95,21,0,14,28,29,2,4
167,ORANGE,2017,4086,14124,88,2551,89,261,6076,20652,4367,25,396,557,9,0,0,3143,694,11,967,65,5,465,172,899,4541,1349,0,338,1187,1608,583,24
168,ORANGE,2018,4052,15786,64,2136,43,249,6389,22746,4215,39,370,588,39,0,0,2947,566,11,727,39,3,420,173,795,4591,1269,0,309,1173,1567,606,24
169,ORANGE,2019,3836,14707,91,2172,55,231,6619,22113,3788,30,344,552,175,0,0,2810,456,6,623,66,5,328,165,768,4379,1104,0,252,1083,1361,591,24
170,ORANGE,2020,3854,10901,121,1772,25,169,4693,19223,2328,24,191,364,202,0,0,2078,297,3,755,53,3,122,110,694,3928,1194,0,314,1157,1390,427,24
171,ORANGE,2021,478,2504,12,87,0,223,662,1359,0,5,46,173,7,6,0,351,12,0,94,2,0,24,10,81,376,220,0,34,139,241,10,8
172,ORANGE,2022,3063,15016,109,1094,27,1256,5236,12863,1568,52,196,704,28,6,2,2507,248,2,490,33,3,148,80,568,3950,1215,0,293,1139,1476,303,24
173,PLACER,2017,628,2809,10,414,1,19,711,1899,1033,18,40,121,19,0,0,432,65,0,129,7,0,53,18,96,445,116,0,17,89,183,58,5
174,PLACER,2018,589,2381,14,398,0,18,626,1807,844,11,54,78,21,0,0,348,70,0,63,5,0,84,13,108,450,87,0,19,67,182,58,5
175,PLACER,2019,640,2138,9,328,0,9,552,1940,876,25,41,86,40,0,0,319,22,0,87,3,1,90,16,98,523,118,0,18,90,214,59,5
176,PLACER,2020,611,1758,9,269,0,15,486,2454,647,9,36,34,56,0,0,276,7,0,86,4,6,20,14,96,465,101,0,11,90,226,57,5
177,PLACER,2021,6,31,0,1,0,11,41,18,0,0,2,5,0,0,0,3,0,0,1,0,0,0,0,0,12,4,0,0,1,2,0,3
178,PLACER,2022,563,1711,20,189,1,127,613,1486,382,13,37,86,59,0,0,335,30,0,84,5,2,4,19,65,582,153,0,9,93,188,54,5
179,PLUMAS,2017,89,164,2,29,0,1,16,258,123,0,1,4,0,0,0,12,1,0,0,0,0,0,3,2,50,9,0,0,7,12,4,1
180,PLUMAS,2018,70,182,1,15,2,6,15,251,87,0,0,0,0,0,0,14,16,0,1,0,0,0,1,1,52,12,0,0,9,25,7,1
181,PLUMAS,2019,60,220,0,18,3,3,21,173,78,0,0,2,0,0,0,6,2,0,4,1,0,0,1,3,60,11,0,0,11,17,7,1
182,PLUMAS,2020,59,166,1,6,0,3,12,161,43,1,2,1,0,0,0,13,6,0,1,1,1,0,0,0,48,6,0,0,9,11,4,1
183,PLUMAS,2022,58,147,2,6,0,1,19,168,44,0,5,0,0,0,0,6,0,0,2,0,0,0,1,1,59,13,0,0,11,18,5,1
184,RIVERSIDE,2017,2910,8298,42,1090,8,86,2106,6457,1978,46,128,144,20,0,0,1157,45,2,349,32,10,77,104,398,2383,1047,0,53,477,836,214,14
185,RIVERSIDE,2018,2818,7666,34,849,12,48,1750,6368,1838,32,96,173,12,0,0,1140,68,5,281,44,6,69,78,433,2331,928,0,44,481,748,211,14
186,RIVERSIDE,2019,2740,6787,43,999,22,107,1597,6047,1685,38,81,116,22,0,0,1058,89,5,288,43,15,26,70,315,2127,877,0,55,494,725,234,14
187,RIVERSIDE,2020,2507,5614,50,597,0,94,1255,5136,1401,31,50,88,17,0,0,860,35,4,300,69,8,134,88,314,1910,883,0,36,577,722,191,14
188,RIVERSIDE,2021,231,1131,5,39,0,399,185,358,0,0,13,19,0,0,0,90,0,0,16,1,0,14,3,21,177,103,0,2,34,118,5,3
189,RIVERSIDE,2022,2405,6386,59,462,0,1074,1626,4042,751,20,58,100,2,0,0,736,21,3,327,54,10,22,101,317,2246,857,0,14,611,1015,178,14
190,SACRAMENTO,2017,3856,8530,79,1256,0,102,3205,5816,2967,50,129,256,0,0,0,1576,59,3,680,59,17,206,60,760,2369,823,0,22,503,1346,434,10
191,SACRAMENTO,2018,4000,9398,67,1057,0,103,3799,6523,2334,66,92,286,1,0,0,1286,80,10,766,53,12,218,62,665,2494,694,0,27,583,1183,352,10
192,SACRAMENTO,2019,3907,8353,95,1040,3,200,4398,6524,1813,64,99,342,0,0,0,1014,76,9,606,61,23,151,44,722,2623,708,0,22,545,1111,344,10
193,SACRAMENTO,2020,3789,4655,140,977,0,91,3269,5021,337,43,99,207,0,0,0,666,32,8,621,70,22,57,47,591,2408,677,0,19,634,1331,270,10
194,SACRAMENTO,2021,23,29,1,8,0,2,47,5,0,0,1,1,0,0,0,13,1,0,0,0,0,2,0,3,31,2,0,0,3,5,1,2
