,county_name,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property,POVERTY_RATE,POPULATION
220,SAN JOAQUIN,2017,4721,5208,4155,18,672265
221,SAN JOAQUIN,2018,4634,4872,3867,18,672265
222,SAN JOAQUIN,2019,4624,4569,3677,18,672265
223,SAN JOAQUIN,2020,4408,3753,3261,18,672265
224,SAN JOAQUIN,2021,1379,1344,1421,18,672265
225,SAN JOAQUIN,2022,3208,2773,3048,18,672265
226,SAN LUIS OBISPO,2017,1184,5328,1142,14,254132
227,SAN LUIS OBISPO,2018,1154,4616,1079,14,254132
228,SAN LUIS OBISPO,2019,1034,4213,1053,14,254132
229,SAN LUIS OBISPO,2020,1041,3708,860,14,254132
230,SAN LUIS OBISPO,2021,113,583,118,14,254132
231,SAN LUIS OBISPO,2022,1073,3183,782,14,254132
232,SAN MATEO,2017,2208,6647,2771,7,713363
233,SAN MATEO,2018,2209,7000,2627,7,713363
234,SAN MATEO,2019,2363,6620,2846,7,713363
235,SAN MATEO,2020,1963,4591,1992,7,713363
236,SAN MATEO,2021,119,335,158,7,713363
237,SAN MATEO,2022,1915,4080,2588,7,713363
238,SANTA BARBARA,2017,2459,7164,1690,15,406340
239,SANTA BARBARA,2018,2372,6453,1621,15,406340
240,SANTA BARBARA,2019,2023,5328,1617,15,406340
241,SANTA BARBARA,2020,1891,4260,1403,15,406340
242,SANTA BARBARA,2021,473,696,377,15,406340
243,SANTA BARBARA,2022,1740,3281,1536,15,406340
244,SANTA CLARA,2017,6491,12400,6658,10,1761326
245,SANTA CLARA,2018,6522,12554,6269,10,1761326
246,SANTA CLARA,2019,6816,11910,5946,10,1761326
247,SANTA CLARA,2020,6516,10189,5507,10,1761326
248,SANTA CLARA,2021,359,664,393,10,1761326
249,SANTA CLARA,2022,6881,7648,6028,10,1761326
250,SANTA CRUZ,2017,1683,4364,1834,14,253753
251,SANTA CRUZ,2018,1660,4330,1638,14,253753
252,SANTA CRUZ,2019,1747,3992,1460,14,253753
253,SANTA CRUZ,2020,1470,3325,1223,14,253753
254,SANTA CRUZ,2021,114,209,61,14,253753
255,SANTA CRUZ,2022,1428,2900,1065,14,253753
256,SHASTA,2017,982,2691,1172,18,174707
257,SHASTA,2018,930,2513,1022,18,174707
258,SHASTA,2019,971,2929,1149,18,174707
259,SHASTA,2020,829,3138,891,18,174707
260,SHASTA,2022,842,3169,983,18,174707
261,SIERRA,2017,27,35,17,17,3132
262,SIERRA,2018,25,42,18,17,3132
263,SIERRA,2019,20,40,12,17,3132
264,SIERRA,2020,24,50,15,17,3132
265,SIERRA,2022,8,24,10,17,3132
266,SISKIYOU,2017,326,602,239,20,44039
267,SISKIYOU,2018,331,606,235,20,44039
268,SISKIYOU,2019,320,535,206,20,44039
269,SISKIYOU,2020,269,491,191,20,44039
270,SISKIYOU,2022,235,433,224,20,44039
271,SOLANO,2017,2945,4638,2920,12,397076
272,SOLANO,2018,2848,4761,2708,12,397076
273,SOLANO,2019,2386,3445,2370,12,397076
274,SOLANO,2020,2209,3260,2256,12,397076
275,SOLANO,2021,75,156,84,12,397076
276,SOLANO,2022,2239,2236,1857,12,397076
277,SONOMA,2017,2602,5968,1875,12,476043
278,SONOMA,2018,2640,5837,1923,12,476043
279,SONOMA,2019,2621,5712,1734,12,476043
280,SONOMA,2020,1957,2794,1245,12,476043
281,SONOMA,2021,17,51,21,12,476043
282,SONOMA,2022,1901,2561,1513,12,476043
283,STANISLAUS,2017,3343,4930,3032,19,508890
284,STANISLAUS,2018,3478,4359,2734,19,508890
285,STANISLAUS,2019,3591,4670,2677,19,508890
286,STANISLAUS,2020,3660,5197,2458,19,508890
287,STANISLAUS,2022,3019,3606,2275,19,508890
288,SUTTER,2017,756,1462,950,17,93434
289,SUTTER,2018,694,1597,846,17,93434
290,SUTTER,2019,688,1592,944,17,93434
291,SUTTER,2020,549,967,746,17,93434
292,SUTTER,2021,20,59,53,17,93434
293,SUTTER,2022,572,1251,640,17,93434
294,TEHAMA,2017,384,919,472,20,62314
295,TEHAMA,2018,483,961,416,20,62314
296,TEHAMA,2019,451,985,428,20,62314
297,TEHAMA,2020,354,679,315,20,62314
298,TEHAMA,2021,190,415,201,20,62314
299,TEHAMA,2022,253,608,342,20,62314
300,TRINITY,2017,98,250,62,18,13409
301,TRINITY,2018,83,192,47,18,13409
302,TRINITY,2019,51,173,33,18,13409
303,TRINITY,2020,79,151,48,18,13409
304,TRINITY,2022,62,65,37,18,13409
305,TULARE,2017,3798,7997,3310,25,435395
306,TULARE,2018,3898,7460,3439,25,435395
307,TULARE,2019,3787,7565,3302,25,435395
308,TULARE,2020,3747,7187,2833,25,435395
309,TULARE,2021,952,1787,677,25,435395
310,TULARE,2022,3675,5600,2907,25,435395
311,TUOLUMNE,2017,357,880,270,13,51217
312,TUOLUMNE,2018,331,784,278,13,51217
313,TUOLUMNE,2019,398,920,291,13,51217
314,TUOLUMNE,2020,365,710,235,13,51217
315,TUOLUMNE,2022,293,420,180,13,51217
316,VENTURA,2017,2886,9321,3364,10,811132
317,VENTURA,2018,3222,10346,3267,10,811132
318,VENTURA,2019,3376,10208,3229,10,811132
319,VENTURA,2020,2977,8622,2961,10,811132
320,VENTURA,2021,125,246,107,10,811132
321,VENTURA,2022,2579,5564,2409,10,811132
322,YOLO,2017,972,2479,912,19,193063
323,YOLO,2018,964,2197,951,19,193063
324,YOLO,2019,912,2268,933,19,193063
325,YOLO,2020,900,1436,796,19,193063
326,YOLO,2021,86,143,89,19,193063
327,YOLO,2022,546,1024,566,19,193063
328,YUBA,2017,618,1093,506,21,70740
329,YUBA,2018,530,1127,412,21,70740
330,YUBA,2019,540,1252,419,21,70740
331,YUBA,2020,438,961,308,21,70740
332,YUBA,2022,463,873,338,21,70740
